sub,priming,qt,avg,story
sub-29,soc,avg_soc,2.25,23
sub-30,soc,avg_loc,1.5,23
sub-30,soc,avg_soc,3.0,23
sub-31,loc,avg_loc,0.75,23
sub-31,loc,avg_soc,0.75,23
sub-32,soc,avg_loc,0.0,23
sub-32,soc,avg_soc,0.0,23
sub-33,soc,avg_loc,0.0,23
sub-33,soc,avg_soc,3.0,23
sub-36,np,avg_loc,1.75,23
sub-36,np,avg_soc,0.75,23
sub-37,loc,avg_loc,1.75,23
sub-37,loc,avg_soc,0.5,23
sub-38,loc,avg_loc,2.25,23
sub-38,loc,avg_soc,2.0,23
sub-01,np,avg_loc,0.5,33
sub-01,np,avg_soc,0.5,33
sub-02,loc,avg_loc,1.25,33
sub-02,loc,avg_soc,0.0,33
sub-03,np,avg_loc,0.5,33
sub-03,np,avg_soc,1.25,33
sub-04,loc,avg_loc,0.0,33
sub-04,loc,avg_soc,0.0,33
sub-05,np,avg_loc,1.0,33
sub-05,np,avg_soc,1.25,33
sub-06,loc,avg_loc,1.0,33
sub-06,loc,avg_soc,0.0,33
sub-07,soc,avg_loc,0.0,33
sub-07,soc,avg_soc,0.0,33
sub-10,np,avg_loc,0.25,33
sub-10,np,avg_soc,0.5,33
sub-14,soc,avg_loc,0.25,33
sub-14,soc,avg_soc,0.25,33
sub-16,soc,avg_loc,0.0,33
sub-16,soc,avg_soc,0.25,33
sub-17,loc,avg_loc,1.75,33
sub-17,loc,avg_soc,1.25,33
sub-18,loc,avg_loc,2.5,33
sub-18,loc,avg_soc,0.5,33
sub-19,soc,avg_loc,0.0,33
sub-19,soc,avg_soc,0.5,33
sub-21,soc,avg_loc,0.25,33
sub-21,soc,avg_soc,0.75,33
sub-25,np,avg_loc,0.0,33
sub-25,np,avg_soc,0.0,33
sub-26,np,avg_loc,1.25,33
sub-26,np,avg_soc,0.75,33
sub-27,np,avg_loc,0.5,33
sub-27,np,avg_soc,1.25,33
sub-28,soc,avg_loc,0.25,33
sub-28,soc,avg_soc,2.5,33
sub-29,soc,avg_loc,1.25,33
sub-29,soc,avg_soc,1.5,33
sub-30,soc,avg_loc,1.0,33
sub-30,soc,avg_soc,2.25,33
sub-32,np,avg_loc,0.0,33
sub-32,np,avg_soc,0.0,33
sub-33,np,avg_loc,0.25,33
sub-33,np,avg_soc,0.75,33
sub-34,loc,avg_loc,1.0,33
sub-34,loc,avg_soc,2.0,33
sub-35,loc,avg_loc,0.0,33
sub-35,loc,avg_soc,0.0,33
sub-36,soc,avg_loc,1.25,33
sub-36,soc,avg_soc,0.5,33
sub-37,loc,avg_loc,2.5,33
sub-37,loc,avg_soc,0.75,33
sub-38,loc,avg_loc,0.25,33
sub-38,loc,avg_soc,0.75,33
sub-01,soc,avg_loc,0.25,13
sub-01,soc,avg_soc,2.75,13
sub-03,soc,avg_loc,1.25,13
sub-03,soc,avg_soc,1.75,13
sub-05,soc,avg_loc,2.0,13
sub-05,soc,avg_soc,1.0,13
sub-07,soc,avg_loc,0.0,13
sub-07,soc,avg_soc,1.5,13
sub-08,loc,avg_loc,1.75,13
sub-08,loc,avg_soc,2.75,13
sub-09,loc,avg_loc,2.25,13
sub-09,loc,avg_soc,2.0,13
sub-10,np,avg_loc,1.5,13
sub-10,np,avg_soc,1.0,13
sub-12,loc,avg_loc,2.75,13
sub-12,loc,avg_soc,2.5,13
sub-13,loc,avg_loc,2.0,13
sub-13,loc,avg_soc,0.5,13
sub-14,soc,avg_loc,1.5,13
sub-14,soc,avg_soc,1.25,13
sub-16,np,avg_loc,0.25,13
sub-16,np,avg_soc,2.25,13
sub-18,loc,avg_loc,2.0,13
sub-18,loc,avg_soc,1.25,13
sub-19,soc,avg_loc,0.75,13
sub-19,soc,avg_soc,2.5,13
sub-20,loc,avg_loc,1.5,13
sub-20,loc,avg_soc,1.25,13
sub-21,np,avg_loc,0.75,13
sub-21,np,avg_soc,0.75,13
sub-22,loc,avg_loc,0.25,13
sub-22,loc,avg_soc,1.25,13
sub-25,soc,avg_loc,0.25,13
sub-25,soc,avg_soc,1.75,13
sub-26,soc,avg_loc,0.75,13
sub-26,soc,avg_soc,2.75,13
sub-27,soc,avg_loc,0.25,13
sub-27,soc,avg_soc,1.75,13
sub-28,np,avg_loc,0.25,13
sub-28,np,avg_soc,1.0,13
sub-29,np,avg_loc,1.0,13
sub-29,np,avg_soc,1.75,13
sub-30,np,avg_loc,1.0,13
sub-30,np,avg_soc,3.0,13
sub-32,np,avg_loc,0.0,13
sub-32,np,avg_soc,0.0,13
sub-33,np,avg_loc,0.0,13
